Geography,Food categories,Commodity,2011
Canada,Food available adjusted for losses (14),Wheat flour,41.8
Canada,Food available adjusted for losses (14),Rye flour,0.17
Canada,Food available adjusted for losses (14),Oatmeal and rolled oats,0.71
Canada,Food available adjusted for losses (14),Pot and pearl barley,0.26
Canada,Food available adjusted for losses (14),Corn flour and meal,0.53
Canada,Food available adjusted for losses (14),Rice,4.8
Canada,Food available adjusted for losses (14),Breakfast food,3.87
Canada,Food available adjusted for losses (14),Sugar refined,21.93
Canada,Food available adjusted for losses (14),Maple sugar,0.13
Canada,Food available adjusted for losses (14),Honey,0.65
Canada,Food available adjusted for losses (14),Dry beans,F
Canada,Food available adjusted for losses (14),Baked and canned beans,1.06
Canada,Food available adjusted for losses (14),Dry peas,F
Canada,Food available adjusted for losses (14),Peanuts,2.39
Canada,Food available adjusted for losses (14),Tree nuts,1.42
Canada,Food available adjusted for losses (14),"Tea (litres per person, per year)",148.43
Canada,Food available adjusted for losses (14),"Coffee (litres per person, per year)",88.08
Canada,Food available adjusted for losses (14),"Cocoa, green bean equivalent",1.13
Canada,Food available adjusted for losses (14),"Ale, beer, stout and porter, total population (litres per person, per year) (16)",61.85
Canada,Food available adjusted for losses (14),"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year) (16)",73.97
Canada,Food available adjusted for losses (14),"Distilled spirits, total population (litres per person, per year) (16)",6.12
Canada,Food available adjusted for losses (14),"Distilled spirits, population 15 years old and over (litres per person, per year) (16)",7.32
Canada,Food available adjusted for losses (14),"Wines, total population (litres per person, per year) (16)",12.96
Canada,Food available adjusted for losses (14),"Wines, population 15 years old and over (litres per person, per year) (16)",15.5
Canada,Food available adjusted for losses (14),"Soft drinks (litres per person, per year)",67.68
Canada,Food available adjusted for losses (14),"Bottled water (litres per person, per year)",..
Canada,Food available adjusted for losses (14),Cheddar cheese,2.71
Canada,Food available adjusted for losses (14),Processed cheese,1.64
Canada,Food available adjusted for losses (14),Variety cheese,5.63
Canada,Food available adjusted for losses (14),Cottage cheese,0.53
Canada,Food available adjusted for losses (14),Powder skim milk,0.66
Canada,Food available adjusted for losses (14),Powder buttermilk,0.05
Canada,Food available adjusted for losses (14),Powder whey,0.07
Canada,Food available adjusted for losses (14),Other whole milk products,0.25
Canada,Food available adjusted for losses (14),"Concentrated whole milk (litres per person, per year)",0.49
Canada,Food available adjusted for losses (14),"Sweetened concentrated whole milk (litres per person, per year)",..
Canada,Food available adjusted for losses (14),"Concentrated skim milk (litres per person, per year)",0.4
Canada,Food available adjusted for losses (14),"Sweetened concentrated skim milk (litres per person, per year)",0.14
Canada,Food available adjusted for losses (14),"Milkshake (litres per person, per year)",0.18
Canada,Food available adjusted for losses (14),"Ice cream (litres per person, per year)",..
Canada,Food available adjusted for losses (14),"Sherbet (litres per person, per year)",..
Canada,Food available adjusted for losses (14),"Ice milk (litres per person, per year)",1.56
Canada,Food available adjusted for losses (14),"Standard milk 3.25% (litres per person, per year)",7.37
Canada,Food available adjusted for losses (14),"Buttermilk (litres per person, per year)",0.24
Canada,Food available adjusted for losses (14),"Partly skimmed milk 2% (litres per person, per year)",25.23
Canada,Food available adjusted for losses (14),"Partly skimmed milk 1% (litres per person, per year)",12.3
Canada,Food available adjusted for losses (14),"Skim milk (litres per person, per year)",5.78
Canada,Food available adjusted for losses (14),"Chocolate drink (litres per person, per year)",4.26
Canada,Food available adjusted for losses (14),"Cereal cream 10% (litres per person, per year)",..
Canada,Food available adjusted for losses (14),"Table cream 18% (litres per person, per year)",..
Canada,Food available adjusted for losses (14),"Whipping cream 32% or 35% (litres per person, per year)",..
Canada,Food available adjusted for losses (14),"Sour cream (litres per person, per year)",..
Canada,Food available adjusted for losses (14),"Yogurt (litres per person, per year)",..
Canada,Food available adjusted for losses (14),"Chicken, boneless weight",10.22
Canada,Food available adjusted for losses (14),"Stewing hen, boneless weight",0.87
Canada,Food available adjusted for losses (14),"Chicken and stewing hen total, boneless weight",11.08
Canada,Food available adjusted for losses (14),"Turkey, boneless weight",2.04
Canada,Food available adjusted for losses (14),Eggs (15),9.07
Canada,Food available adjusted for losses (14),"Pork, boneless weight",8.83
Canada,Food available adjusted for losses (14),"Beef, boneless weight",11.52
Canada,Food available adjusted for losses (14),"Veal, boneless weight",0.43
Canada,Food available adjusted for losses (14),"Beef and veal total, boneless weight",11.95
Canada,Food available adjusted for losses (14),"Mutton and lamb, boneless weight",0.41
Canada,Food available adjusted for losses (14),"Offal, boneless weight",0.26
Canada,Food available adjusted for losses (14),Butter,2.29
Canada,Food available adjusted for losses (14),Margarine,2.75
Canada,Food available adjusted for losses (14),Salad oils (17),8.45
Canada,Food available adjusted for losses (14),Shortening and shortening oils,4.83
Canada,Food available adjusted for losses (14),Apples fresh,8.16
Canada,Food available adjusted for losses (14),Apples canned,0.18
Canada,Food available adjusted for losses (14),Apples dried,0.03
Canada,Food available adjusted for losses (14),Apples frozen,0.04
Canada,Food available adjusted for losses (14),"Apple juice (litres per person, per year)",4.53
Canada,Food available adjusted for losses (14),Apple pie filling,0.08
Canada,Food available adjusted for losses (14),Apple sauce,0.34
Canada,Food available adjusted for losses (14),Apricots fresh,0.08
Canada,Food available adjusted for losses (14),Apricots canned,0.03
Canada,Food available adjusted for losses (14),Avocados fresh,0.53
Canada,Food available adjusted for losses (14),Bananas fresh,6.75
Canada,Food available adjusted for losses (14),Other fresh berries,0.67
Canada,Food available adjusted for losses (14),Blueberries fresh,0.99
